level,playable
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
2,1
2,1
2,1
2,1
2,1
3,1
3,1
3,1
3,1
3,1
4,0
4,0
4,0
4,0
4,0
5,1
5,1
5,1
5,1
5,1
6,1
6,1
6,1
6,1
6,1
7,1
7,1
7,1
7,1
7,1
8,0
8,0
8,0
8,0
8,0
9,0
9,0
9,1
9,0
9,1
10,1
10,1
10,1
10,1
10,1
11,1
11,1
11,1
11,1
11,1
12,1
12,1
12,1
12,1
12,1
13,1
13,1
13,1
13,1
13,1
14,0
14,0
14,0
14,0
14,0
15,1
15,1
15,1
15,1
15,1
16,1
16,1
16,1
16,1
16,1
17,1
17,1
17,1
17,1
17,1
18,1
18,1
18,1
18,1
18,1
19,0
19,0
19,1
19,1
19,0
20,0
20,0
20,0
20,0
20,0
21,0
21,0
21,0
21,1
21,0
22,1
22,1
22,1
22,1
22,1
23,1
23,1
23,1
23,1
23,1
24,1
24,1
24,1
24,1
24,1
25,1
25,1
25,1
25,1
25,1
26,1
26,1
26,1
26,1
26,1
27,1
27,1
27,1
27,1
27,1
28,1
28,1
28,1
28,1
28,1
29,0
29,0
29,0
29,0
29,1
30,0
30,0
30,0
30,0
30,0
31,0
31,0
31,0
31,0
31,0
32,1
32,1
32,1
32,1
32,1
33,1
33,1
33,1
33,1
33,1
34,1
34,1
34,1
34,1
34,1
35,1
35,1
35,1
35,1
35,1
36,1
36,1
36,1
36,0
36,1
37,1
37,1
37,0
37,0
37,1
38,1
38,1
38,1
38,1
38,1
39,0
39,0
39,0
39,0
39,0
40,1
40,1
40,1
40,1
40,1
41,1
41,1
41,1
41,1
41,1
42,0
42,0
42,0
42,0
42,0
43,0
43,0
43,0
43,0
43,0
44,1
44,1
44,1
44,1
44,1
45,1
45,1
45,1
45,1
45,1
46,1
46,1
46,1
46,1
46,1
47,1
47,1
47,1
47,1
47,1
48,1
48,1
48,1
48,1
48,1
49,1
49,1
49,1
49,1
49,1
50,1
50,1
50,1
50,1
50,1
51,1
51,1
51,1
51,1
51,1
52,1
52,1
52,1
52,1
52,1
53,0
53,0
53,0
53,0
53,0
54,0
54,0
54,0
54,0
54,0
55,1
55,1
55,1
55,1
55,1
56,1
56,1
56,1
56,1
56,1
57,0
57,0
57,0
57,0
57,0
58,1
58,1
58,1
58,1
58,1
59,1
59,1
59,1
59,1
59,1
60,1
60,1
60,1
60,1
60,1
61,0
61,0
61,0
61,0
61,0
62,1
62,1
62,1
62,1
62,1
63,0
63,0
63,0
63,0
63,0
64,1
64,1
64,1
64,1
64,1
65,1
65,1
65,1
65,1
65,1
66,1
66,1
66,1
66,1
66,1
67,0
67,0
67,0
67,0
67,0
68,1
68,1
68,1
68,1
68,1
69,0
69,0
69,0
69,0
69,0
70,1
70,1
70,1
70,1
70,1
71,1
71,1
71,1
71,1
71,1
72,0
72,0
72,0
72,0
72,0
73,1
73,1
73,1
73,1
73,1
74,0
74,0
74,0
74,0
74,0
75,1
75,1
75,1
75,1
75,1
76,1
76,1
76,1
76,1
76,1
77,1
77,1
77,1
77,1
77,1
78,1
78,1
78,1
78,1
78,1
79,1
79,1
79,1
79,0
79,0
80,1
80,1
80,1
80,1
80,1
81,0
81,0
81,0
81,0
81,0
82,1
82,1
82,1
82,1
82,1
83,1
83,1
83,1
83,1
83,1
84,1
84,1
84,1
84,1
84,1
85,1
85,1
85,1
85,1
85,1
86,1
86,1
86,1
86,1
86,1
87,0
87,0
87,0
87,0
87,0
88,1
88,1
88,1
88,1
88,1
89,0
89,0
89,0
89,0
89,0
90,1
90,0
90,1
90,1
90,1
91,1
91,1
91,1
91,1
91,1
92,1
92,1
92,1
92,1
92,1
93,1
93,1
93,1
93,1
93,1
94,0
94,0
94,0
94,0
94,0
95,0
95,0
95,0
95,0
95,0
96,1
96,1
96,1
96,1
96,1
97,1
97,1
97,1
97,1
97,1
98,1
98,1
98,1
98,1
98,1
99,1
99,1
99,1
99,1
99,1
